Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
7476,Counter-Strike ,Sports Rollbots·$568,$9.31·$50·105%,Hidden,$821,$1.34K,$2.19K,$1.39K,"=IFERROR(LEFT(I620,LEN(I620)-1)*10^(SEARCH(RIGHT(I620),""kmbt"")*3),I620)","=LEFT(D620,SEARCH(""·"",D620)-1)","=MID(D620,SEARCH(""·"",D620)+2,SEARCH(""·"",D620,SEARCH(""·"",D620)+1)-SEARCH(""·"",D620)-2)","=RIGHT(D620,4)",=K620+0.6*L620,=J620/N620,=J620/(0.6*L620)
5440,NBA2K ,Sports Rollbots·$568,$10.08·$110·105%,fooops,$1.01K,$1.68K,$2.8K,$1.39K,"=IFERROR(LEFT(I621,LEN(I621)-1)*10^(SEARCH(RIGHT(I621),""kmbt"")*3),I621)","=LEFT(D621,SEARCH(""·"",D621)-1)","=MID(D621,SEARCH(""·"",D621)+2,SEARCH(""·"",D621,SEARCH(""·"",D621)+1)-SEARCH(""·"",D621)-2)","=RIGHT(D621,4)",=K621+0.6*L621,=J621/N621,=J621/(0.6*L621)
2217,Counter-Strike ,Sports Rollbots·$568,$37.26·$26·103%,Zhaciegg,$737,$1.19K,$1.92K,$1.39K,"=IFERROR(LEFT(I622,LEN(I622)-1)*10^(SEARCH(RIGHT(I622),""kmbt"")*3),I622)","=LEFT(D622,SEARCH(""·"",D622)-1)","=MID(D622,SEARCH(""·"",D622)+2,SEARCH(""·"",D622,SEARCH(""·"",D622)+1)-SEARCH(""·"",D622)-2)","=RIGHT(D622,4)",=K622+0.6*L622,=J622/N622,=J622/(0.6*L622)
4118,Snooker ,Sports Rollbots·$568,$5.08·$70·103%,AyeZee,$1.01K,$1.69K,$2.83K,$1.4K,"=IFERROR(LEFT(I623,LEN(I623)-1)*10^(SEARCH(RIGHT(I623),""kmbt"")*3),I623)","=LEFT(D623,SEARCH(""·"",D623)-1)","=MID(D623,SEARCH(""·"",D623)+2,SEARCH(""·"",D623,SEARCH(""·"",D623)+1)-SEARCH(""·"",D623)-2)","=RIGHT(D623,4)",=K623+0.6*L623,=J623/N623,=J623/(0.6*L623)
8523,Ice Hockey ,Sports Rollbots·$568,$26.8·$34·108%,Urban,$903,$1.49K,$2.46K,$1.4K,"=IFERROR(LEFT(I624,LEN(I624)-1)*10^(SEARCH(RIGHT(I624),""kmbt"")*3),I624)","=LEFT(D624,SEARCH(""·"",D624)-1)","=MID(D624,SEARCH(""·"",D624)+2,SEARCH(""·"",D624,SEARCH(""·"",D624)+1)-SEARCH(""·"",D624)-2)","=RIGHT(D624,4)",=K624+0.6*L624,=J624/N624,=J624/(0.6*L624)
5279,Handball ,Sports Rollbots·$568,$5.86·$36·102%,Hidden,$795,$1.29K,$2.1K,$1.4K,"=IFERROR(LEFT(I625,LEN(I625)-1)*10^(SEARCH(RIGHT(I625),""kmbt"")*3),I625)","=LEFT(D625,SEARCH(""·"",D625)-1)","=MID(D625,SEARCH(""·"",D625)+2,SEARCH(""·"",D625,SEARCH(""·"",D625)+1)-SEARCH(""·"",D625)-2)","=RIGHT(D625,4)",=K625+0.6*L625,=J625/N625,=J625/(0.6*L625)
2985,Soccer ,Sports Rollbots·$568,$9.03·$26·119%,AyeZee,$1.18K,$2K,$3.4K,$1.4K,"=IFERROR(LEFT(I626,LEN(I626)-1)*10^(SEARCH(RIGHT(I626),""kmbt"")*3),I626)","=LEFT(D626,SEARCH(""·"",D626)-1)","=MID(D626,SEARCH(""·"",D626)+2,SEARCH(""·"",D626,SEARCH(""·"",D626)+1)-SEARCH(""·"",D626)-2)","=RIGHT(D626,4)",=K626+0.6*L626,=J626/N626,=J626/(0.6*L626)
6643,Soccer ,Sports Rollbots·$568,$9.03·$26·107%,DropTheSoap,$830,$1.36K,$2.22K,$1.4K,"=IFERROR(LEFT(I627,LEN(I627)-1)*10^(SEARCH(RIGHT(I627),""kmbt"")*3),I627)","=LEFT(D627,SEARCH(""·"",D627)-1)","=MID(D627,SEARCH(""·"",D627)+2,SEARCH(""·"",D627,SEARCH(""·"",D627)+1)-SEARCH(""·"",D627)-2)","=RIGHT(D627,4)",=K627+0.6*L627,=J627/N627,=J627/(0.6*L627)
5056,MMA ,Sports Rollbots·$568,$2.82·$28·103%,Hidden,$725,$1.17K,$1.88K,$1.4K,"=IFERROR(LEFT(I628,LEN(I628)-1)*10^(SEARCH(RIGHT(I628),""kmbt"")*3),I628)","=LEFT(D628,SEARCH(""·"",D628)-1)","=MID(D628,SEARCH(""·"",D628)+2,SEARCH(""·"",D628,SEARCH(""·"",D628)+1)-SEARCH(""·"",D628)-2)","=RIGHT(D628,4)",=K628+0.6*L628,=J628/N628,=J628/(0.6*L628)
2531,Alpine Skiing ,Sports Rollbots·$568,$4.22·$22·107%,Haw96,$954,$1.58K,$2.63K,$1.4K,"=IFERROR(LEFT(I629,LEN(I629)-1)*10^(SEARCH(RIGHT(I629),""kmbt"")*3),I629)","=LEFT(D629,SEARCH(""·"",D629)-1)","=MID(D629,SEARCH(""·"",D629)+2,SEARCH(""·"",D629,SEARCH(""·"",D629)+1)-SEARCH(""·"",D629)-2)","=RIGHT(D629,4)",=K629+0.6*L629,=J629/N629,=J629/(0.6*L629)
