Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
6983,Table Tennis ,Sports Rollbots·$568,$2.05·$26·110%,RealLifeKyle,$928,$1.54K,$2.54K,$444,"=IFERROR(LEFT(I2,LEN(I2)-1)*10^(SEARCH(RIGHT(I2),""kmbt"")*3),I2)","=LEFT(D2,SEARCH(""·"",D2)-1)","=MID(D2,SEARCH(""·"",D2)+2,SEARCH(""·"",D2,SEARCH(""·"",D2)+1)-SEARCH(""·"",D2)-2)","=RIGHT(D2,4)",=K2+0.6*L2,=J2/N2,=J2/(0.6*L2)
5842,MMA ,Sports Rollbots·$568,$1.41·$22·103%,ZackC.eth,$704,$1.13K,$1.81K,$448,"=IFERROR(LEFT(I3,LEN(I3)-1)*10^(SEARCH(RIGHT(I3),""kmbt"")*3),I3)","=LEFT(D3,SEARCH(""·"",D3)-1)","=MID(D3,SEARCH(""·"",D3)+2,SEARCH(""·"",D3,SEARCH(""·"",D3)+1)-SEARCH(""·"",D3)-2)","=RIGHT(D3,4)",=K3+0.6*L3,=J3/N3,=J3/(0.6*L3)
1958,Formula 1 ,Sports Rollbots·$568,$1.2·$20·102%,ZackC.eth,$675,$1.08K,$1.72K,$448,"=IFERROR(LEFT(I4,LEN(I4)-1)*10^(SEARCH(RIGHT(I4),""kmbt"")*3),I4)","=LEFT(D4,SEARCH(""·"",D4)-1)","=MID(D4,SEARCH(""·"",D4)+2,SEARCH(""·"",D4,SEARCH(""·"",D4)+1)-SEARCH(""·"",D4)-2)","=RIGHT(D4,4)",=K4+0.6*L4,=J4/N4,=J4/(0.6*L4)
506,Rocket League ,Sports Rollbots·$568,$3.32·$22·101%,ZackC.eth,$674,$1.08K,$1.72K,$448,"=IFERROR(LEFT(I5,LEN(I5)-1)*10^(SEARCH(RIGHT(I5),""kmbt"")*3),I5)","=LEFT(D5,SEARCH(""·"",D5)-1)","=MID(D5,SEARCH(""·"",D5)+2,SEARCH(""·"",D5,SEARCH(""·"",D5)+1)-SEARCH(""·"",D5)-2)","=RIGHT(D5,4)",=K5+0.6*L5,=J5/N5,=J5/(0.6*L5)
1415,Soccer ,Sports Rollbots·$568,$4.51·$22·103%,ZackC.eth,$700,$1.12K,$1.8K,$448,"=IFERROR(LEFT(I6,LEN(I6)-1)*10^(SEARCH(RIGHT(I6),""kmbt"")*3),I6)","=LEFT(D6,SEARCH(""·"",D6)-1)","=MID(D6,SEARCH(""·"",D6)+2,SEARCH(""·"",D6,SEARCH(""·"",D6)+1)-SEARCH(""·"",D6)-2)","=RIGHT(D6,4)",=K6+0.6*L6,=J6/N6,=J6/(0.6*L6)
4703,Ice Hockey ,Sports Rollbots·$568,$8.93·$22·101%,ZackC.eth,$653,$1.04K,$1.65K,$448,"=IFERROR(LEFT(I7,LEN(I7)-1)*10^(SEARCH(RIGHT(I7),""kmbt"")*3),I7)","=LEFT(D7,SEARCH(""·"",D7)-1)","=MID(D7,SEARCH(""·"",D7)+2,SEARCH(""·"",D7,SEARCH(""·"",D7)+1)-SEARCH(""·"",D7)-2)","=RIGHT(D7,4)",=K7+0.6*L7,=J7/N7,=J7/(0.6*L7)
6554,League of Legends ,Sports Rollbots·$568,$1.38·$24·102%,ZackC.eth,$682,$1.09K,$1.74K,$448,"=IFERROR(LEFT(I8,LEN(I8)-1)*10^(SEARCH(RIGHT(I8),""kmbt"")*3),I8)","=LEFT(D8,SEARCH(""·"",D8)-1)","=MID(D8,SEARCH(""·"",D8)+2,SEARCH(""·"",D8,SEARCH(""·"",D8)+1)-SEARCH(""·"",D8)-2)","=RIGHT(D8,4)",=K8+0.6*L8,=J8/N8,=J8/(0.6*L8)
8544,FIFA ,Sports Rollbots·$568,$6.15·$24·105%,WatchGamesTV,$775,$1.26K,$2.04K,$449,"=IFERROR(LEFT(I9,LEN(I9)-1)*10^(SEARCH(RIGHT(I9),""kmbt"")*3),I9)","=LEFT(D9,SEARCH(""·"",D9)-1)","=MID(D9,SEARCH(""·"",D9)+2,SEARCH(""·"",D9,SEARCH(""·"",D9)+1)-SEARCH(""·"",D9)-2)","=RIGHT(D9,4)",=K9+0.6*L9,=J9/N9,=J9/(0.6*L9)
4845,Volleyball ,Sports Rollbots·$568,$3.15·$38·103%,WatchGamesTV,$758,$1.23K,$1.98K,$449,"=IFERROR(LEFT(I10,LEN(I10)-1)*10^(SEARCH(RIGHT(I10),""kmbt"")*3),I10)","=LEFT(D10,SEARCH(""·"",D10)-1)","=MID(D10,SEARCH(""·"",D10)+2,SEARCH(""·"",D10,SEARCH(""·"",D10)+1)-SEARCH(""·"",D10)-2)","=RIGHT(D10,4)",=K10+0.6*L10,=J10/N10,=J10/(0.6*L10)
9969,Volleyball ,Sports Rollbots·$568,$3.15·$32·112%,WatchGamesTV,$1.01K,$1.68K,$2.8K,$449,"=IFERROR(LEFT(I11,LEN(I11)-1)*10^(SEARCH(RIGHT(I11),""kmbt"")*3),I11)","=LEFT(D11,SEARCH(""·"",D11)-1)","=MID(D11,SEARCH(""·"",D11)+2,SEARCH(""·"",D11,SEARCH(""·"",D11)+1)-SEARCH(""·"",D11)-2)","=RIGHT(D11,4)",=K11+0.6*L11,=J11/N11,=J11/(0.6*L11)
7738,FIFA ,Sports Rollbots·$568,$6.15·$24·103%,WatchGamesTV,$718,$1.15K,$1.86K,$449,"=IFERROR(LEFT(I12,LEN(I12)-1)*10^(SEARCH(RIGHT(I12),""kmbt"")*3),I12)","=LEFT(D12,SEARCH(""·"",D12)-1)","=MID(D12,SEARCH(""·"",D12)+2,SEARCH(""·"",D12,SEARCH(""·"",D12)+1)-SEARCH(""·"",D12)-2)","=RIGHT(D12,4)",=K12+0.6*L12,=J12/N12,=J12/(0.6*L12)
4076,Volleyball ,Sports Rollbots·$568,$3.15·$28·104%,WatchGamesTV,$764,$1.24K,$2K,$449,"=IFERROR(LEFT(I13,LEN(I13)-1)*10^(SEARCH(RIGHT(I13),""kmbt"")*3),I13)","=LEFT(D13,SEARCH(""·"",D13)-1)","=MID(D13,SEARCH(""·"",D13)+2,SEARCH(""·"",D13,SEARCH(""·"",D13)+1)-SEARCH(""·"",D13)-2)","=RIGHT(D13,4)",=K13+0.6*L13,=J13/N13,=J13/(0.6*L13)
7888,MMA ,Sports Rollbots·$568,$5.63·$22·102%,WatchGamesTV,$699,$1.12K,$1.8K,$449,"=IFERROR(LEFT(I14,LEN(I14)-1)*10^(SEARCH(RIGHT(I14),""kmbt"")*3),I14)","=LEFT(D14,SEARCH(""·"",D14)-1)","=MID(D14,SEARCH(""·"",D14)+2,SEARCH(""·"",D14,SEARCH(""·"",D14)+1)-SEARCH(""·"",D14)-2)","=RIGHT(D14,4)",=K14+0.6*L14,=J14/N14,=J14/(0.6*L14)
9583,NBA2K ,Sports Rollbots·$568,$10.08·$20·102%,WatchGamesTV,$703,$1.13K,$1.81K,$449,"=IFERROR(LEFT(I15,LEN(I15)-1)*10^(SEARCH(RIGHT(I15),""kmbt"")*3),I15)","=LEFT(D15,SEARCH(""·"",D15)-1)","=MID(D15,SEARCH(""·"",D15)+2,SEARCH(""·"",D15,SEARCH(""·"",D15)+1)-SEARCH(""·"",D15)-2)","=RIGHT(D15,4)",=K15+0.6*L15,=J15/N15,=J15/(0.6*L15)
543,Boxing ,Sports Rollbots·$568,$2.77·$20·103%,WatchGamesTV,$701,$1.12K,$1.8K,$449,"=IFERROR(LEFT(I16,LEN(I16)-1)*10^(SEARCH(RIGHT(I16),""kmbt"")*3),I16)","=LEFT(D16,SEARCH(""·"",D16)-1)","=MID(D16,SEARCH(""·"",D16)+2,SEARCH(""·"",D16,SEARCH(""·"",D16)+1)-SEARCH(""·"",D16)-2)","=RIGHT(D16,4)",=K16+0.6*L16,=J16/N16,=J16/(0.6*L16)
8054,American Football ,Sports Rollbots·$568,$1.06·$20·106%,WatchGamesTV,$782,$1.27K,$2.06K,$449,"=IFERROR(LEFT(I17,LEN(I17)-1)*10^(SEARCH(RIGHT(I17),""kmbt"")*3),I17)","=LEFT(D17,SEARCH(""·"",D17)-1)","=MID(D17,SEARCH(""·"",D17)+2,SEARCH(""·"",D17,SEARCH(""·"",D17)+1)-SEARCH(""·"",D17)-2)","=RIGHT(D17,4)",=K17+0.6*L17,=J17/N17,=J17/(0.6*L17)
6885,League of Legends ,Sports Rollbots·$568,$1.38·$36·102%,WatchGamesTV,$707,$1.14K,$1.82K,$449,"=IFERROR(LEFT(I18,LEN(I18)-1)*10^(SEARCH(RIGHT(I18),""kmbt"")*3),I18)","=LEFT(D18,SEARCH(""·"",D18)-1)","=MID(D18,SEARCH(""·"",D18)+2,SEARCH(""·"",D18,SEARCH(""·"",D18)+1)-SEARCH(""·"",D18)-2)","=RIGHT(D18,4)",=K18+0.6*L18,=J18/N18,=J18/(0.6*L18)
2446,Formula 1 ,Sports Rollbots·$568,$3.59·$32·102%,WatchGamesTV,$724,$1.17K,$1.88K,$449,"=IFERROR(LEFT(I19,LEN(I19)-1)*10^(SEARCH(RIGHT(I19),""kmbt"")*3),I19)","=LEFT(D19,SEARCH(""·"",D19)-1)","=MID(D19,SEARCH(""·"",D19)+2,SEARCH(""·"",D19,SEARCH(""·"",D19)+1)-SEARCH(""·"",D19)-2)","=RIGHT(D19,4)",=K19+0.6*L19,=J19/N19,=J19/(0.6*L19)
1281,Boxing ,Sports Rollbots·$568,$2.77·$20·109%,WatchGamesTV,$872,$1.43K,$2.35K,$449,"=IFERROR(LEFT(I20,LEN(I20)-1)*10^(SEARCH(RIGHT(I20),""kmbt"")*3),I20)","=LEFT(D20,SEARCH(""·"",D20)-1)","=MID(D20,SEARCH(""·"",D20)+2,SEARCH(""·"",D20,SEARCH(""·"",D20)+1)-SEARCH(""·"",D20)-2)","=RIGHT(D20,4)",=K20+0.6*L20,=J20/N20,=J20/(0.6*L20)
2147,Rocket League ,Sports Rollbots·$568,$3.32·$30·107%,WatchGamesTV,$871,$1.43K,$2.35K,$449,"=IFERROR(LEFT(I21,LEN(I21)-1)*10^(SEARCH(RIGHT(I21),""kmbt"")*3),I21)","=LEFT(D21,SEARCH(""·"",D21)-1)","=MID(D21,SEARCH(""·"",D21)+2,SEARCH(""·"",D21,SEARCH(""·"",D21)+1)-SEARCH(""·"",D21)-2)","=RIGHT(D21,4)",=K21+0.6*L21,=J21/N21,=J21/(0.6*L21)
7483,Boxing ,Sports Rollbots·$568,$2.77·$20·108%,WatchGamesTV,$844,$1.38K,$2.26K,$449,"=IFERROR(LEFT(I22,LEN(I22)-1)*10^(SEARCH(RIGHT(I22),""kmbt"")*3),I22)","=LEFT(D22,SEARCH(""·"",D22)-1)","=MID(D22,SEARCH(""·"",D22)+2,SEARCH(""·"",D22,SEARCH(""·"",D22)+1)-SEARCH(""·"",D22)-2)","=RIGHT(D22,4)",=K22+0.6*L22,=J22/N22,=J22/(0.6*L22)
9341,Tennis ,Sports Rollbots·$568,$14.56·$20·109%,WatchGamesTV,$871,$1.43K,$2.35K,$449,"=IFERROR(LEFT(I23,LEN(I23)-1)*10^(SEARCH(RIGHT(I23),""kmbt"")*3),I23)","=LEFT(D23,SEARCH(""·"",D23)-1)","=MID(D23,SEARCH(""·"",D23)+2,SEARCH(""·"",D23,SEARCH(""·"",D23)+1)-SEARCH(""·"",D23)-2)","=RIGHT(D23,4)",=K23+0.6*L23,=J23/N23,=J23/(0.6*L23)
7171,Rocket League ,Sports Rollbots·$568,$3.32·$26·107%,WatchGamesTV,$862,$1.41K,$2.32K,$449,"=IFERROR(LEFT(I24,LEN(I24)-1)*10^(SEARCH(RIGHT(I24),""kmbt"")*3),I24)","=LEFT(D24,SEARCH(""·"",D24)-1)","=MID(D24,SEARCH(""·"",D24)+2,SEARCH(""·"",D24,SEARCH(""·"",D24)+1)-SEARCH(""·"",D24)-2)","=RIGHT(D24,4)",=K24+0.6*L24,=J24/N24,=J24/(0.6*L24)
2182,Boxing ,Sports Rollbots·$568,$2.77·$30·108%,WatchGamesTV,$869,$1.43K,$2.34K,$449,"=IFERROR(LEFT(I25,LEN(I25)-1)*10^(SEARCH(RIGHT(I25),""kmbt"")*3),I25)","=LEFT(D25,SEARCH(""·"",D25)-1)","=MID(D25,SEARCH(""·"",D25)+2,SEARCH(""·"",D25,SEARCH(""·"",D25)+1)-SEARCH(""·"",D25)-2)","=RIGHT(D25,4)",=K25+0.6*L25,=J25/N25,=J25/(0.6*L25)
7828,Boxing ,Sports Rollbots·$568,$8.31·$26·106%,WatchGamesTV,$822,$1.34K,$2.19K,$449,"=IFERROR(LEFT(I26,LEN(I26)-1)*10^(SEARCH(RIGHT(I26),""kmbt"")*3),I26)","=LEFT(D26,SEARCH(""·"",D26)-1)","=MID(D26,SEARCH(""·"",D26)+2,SEARCH(""·"",D26,SEARCH(""·"",D26)+1)-SEARCH(""·"",D26)-2)","=RIGHT(D26,4)",=K26+0.6*L26,=J26/N26,=J26/(0.6*L26)
968,League of Legends ,Sports Rollbots·$568,$1.38·$38·104%,WatchGamesTV,$769,$1.25K,$2.02K,$449,"=IFERROR(LEFT(I27,LEN(I27)-1)*10^(SEARCH(RIGHT(I27),""kmbt"")*3),I27)","=LEFT(D27,SEARCH(""·"",D27)-1)","=MID(D27,SEARCH(""·"",D27)+2,SEARCH(""·"",D27,SEARCH(""·"",D27)+1)-SEARCH(""·"",D27)-2)","=RIGHT(D27,4)",=K27+0.6*L27,=J27/N27,=J27/(0.6*L27)
8782,Boxing ,Sports Rollbots·$568,$5.54·$34·107%,WatchGamesTV,$859,$1.41K,$2.31K,$449,"=IFERROR(LEFT(I28,LEN(I28)-1)*10^(SEARCH(RIGHT(I28),""kmbt"")*3),I28)","=LEFT(D28,SEARCH(""·"",D28)-1)","=MID(D28,SEARCH(""·"",D28)+2,SEARCH(""·"",D28,SEARCH(""·"",D28)+1)-SEARCH(""·"",D28)-2)","=RIGHT(D28,4)",=K28+0.6*L28,=J28/N28,=J28/(0.6*L28)
4403,Boxing ,Sports Rollbots·$568,$5.54·$26·107%,WatchGamesTV,$841,$1.38K,$2.25K,$449,"=IFERROR(LEFT(I29,LEN(I29)-1)*10^(SEARCH(RIGHT(I29),""kmbt"")*3),I29)","=LEFT(D29,SEARCH(""·"",D29)-1)","=MID(D29,SEARCH(""·"",D29)+2,SEARCH(""·"",D29,SEARCH(""·"",D29)+1)-SEARCH(""·"",D29)-2)","=RIGHT(D29,4)",=K29+0.6*L29,=J29/N29,=J29/(0.6*L29)
5307,Water Polo ,Sports Rollbots·$568,$2.19·$24·106%,WatchGamesTV,$958,$1.59K,$2.64K,$449,"=IFERROR(LEFT(I30,LEN(I30)-1)*10^(SEARCH(RIGHT(I30),""kmbt"")*3),I30)","=LEFT(D30,SEARCH(""·"",D30)-1)","=MID(D30,SEARCH(""·"",D30)+2,SEARCH(""·"",D30,SEARCH(""·"",D30)+1)-SEARCH(""·"",D30)-2)","=RIGHT(D30,4)",=K30+0.6*L30,=J30/N30,=J30/(0.6*L30)
5838,Formula 1 ,Sports Rollbots·$568,$1.2·$22·101%,WatchGamesTV,$652,$1.04K,$1.65K,$449,"=IFERROR(LEFT(I31,LEN(I31)-1)*10^(SEARCH(RIGHT(I31),""kmbt"")*3),I31)","=LEFT(D31,SEARCH(""·"",D31)-1)","=MID(D31,SEARCH(""·"",D31)+2,SEARCH(""·"",D31,SEARCH(""·"",D31)+1)-SEARCH(""·"",D31)-2)","=RIGHT(D31,4)",=K31+0.6*L31,=J31/N31,=J31/(0.6*L31)
6276,NBA2K ,Sports Rollbots·$568,$10.08·$24·104%,xSTEELAx,$778,$1.26K,$2.05K,$450,"=IFERROR(LEFT(I32,LEN(I32)-1)*10^(SEARCH(RIGHT(I32),""kmbt"")*3),I32)","=LEFT(D32,SEARCH(""·"",D32)-1)","=MID(D32,SEARCH(""·"",D32)+2,SEARCH(""·"",D32,SEARCH(""·"",D32)+1)-SEARCH(""·"",D32)-2)","=RIGHT(D32,4)",=K32+0.6*L32,=J32/N32,=J32/(0.6*L32)
5713,NBA2K ,Sports Rollbots·$568,$10.08·$20·112%,xSTEELAx,$994,$1.66K,$2.76K,$450,"=IFERROR(LEFT(I33,LEN(I33)-1)*10^(SEARCH(RIGHT(I33),""kmbt"")*3),I33)","=LEFT(D33,SEARCH(""·"",D33)-1)","=MID(D33,SEARCH(""·"",D33)+2,SEARCH(""·"",D33,SEARCH(""·"",D33)+1)-SEARCH(""·"",D33)-2)","=RIGHT(D33,4)",=K33+0.6*L33,=J33/N33,=J33/(0.6*L33)
6109,Basketball ,Sports Rollbots·$568,$11.7·$22·111%,Rockabyte,$938,$1.55K,$2.57K,$469,"=IFERROR(LEFT(I34,LEN(I34)-1)*10^(SEARCH(RIGHT(I34),""kmbt"")*3),I34)","=LEFT(D34,SEARCH(""·"",D34)-1)","=MID(D34,SEARCH(""·"",D34)+2,SEARCH(""·"",D34,SEARCH(""·"",D34)+1)-SEARCH(""·"",D34)-2)","=RIGHT(D34,4)",=K34+0.6*L34,=J34/N34,=J34/(0.6*L34)
229,Basketball ,Sports Rollbots·$568,$11.7·$20·104%,samin,$732,$1.18K,$1.9K,$470,"=IFERROR(LEFT(I35,LEN(I35)-1)*10^(SEARCH(RIGHT(I35),""kmbt"")*3),I35)","=LEFT(D35,SEARCH(""·"",D35)-1)","=MID(D35,SEARCH(""·"",D35)+2,SEARCH(""·"",D35,SEARCH(""·"",D35)+1)-SEARCH(""·"",D35)-2)","=RIGHT(D35,4)",=K35+0.6*L35,=J35/N35,=J35/(0.6*L35)
7000,Volleyball ,Sports Rollbots·$568,$3.15·$26·105%,Spaceslave,$788,$1.28K,$2.08K,$470,"=IFERROR(LEFT(I36,LEN(I36)-1)*10^(SEARCH(RIGHT(I36),""kmbt"")*3),I36)","=LEFT(D36,SEARCH(""·"",D36)-1)","=MID(D36,SEARCH(""·"",D36)+2,SEARCH(""·"",D36,SEARCH(""·"",D36)+1)-SEARCH(""·"",D36)-2)","=RIGHT(D36,4)",=K36+0.6*L36,=J36/N36,=J36/(0.6*L36)
6522,Basketball ,Sports Rollbots·$568,$11.7·$26·104%,XxDMoXxD,$747,$1.21K,$1.95K,$475,"=IFERROR(LEFT(I37,LEN(I37)-1)*10^(SEARCH(RIGHT(I37),""kmbt"")*3),I37)","=LEFT(D37,SEARCH(""·"",D37)-1)","=MID(D37,SEARCH(""·"",D37)+2,SEARCH(""·"",D37,SEARCH(""·"",D37)+1)-SEARCH(""·"",D37)-2)","=RIGHT(D37,4)",=K37+0.6*L37,=J37/N37,=J37/(0.6*L37)
4437,Volleyball ,Sports Rollbots·$568,$3.15·$28·101%,OzzGunay,$673,$1.07K,$1.72K,$498,"=IFERROR(LEFT(I38,LEN(I38)-1)*10^(SEARCH(RIGHT(I38),""kmbt"")*3),I38)","=LEFT(D38,SEARCH(""·"",D38)-1)","=MID(D38,SEARCH(""·"",D38)+2,SEARCH(""·"",D38,SEARCH(""·"",D38)+1)-SEARCH(""·"",D38)-2)","=RIGHT(D38,4)",=K38+0.6*L38,=J38/N38,=J38/(0.6*L38)
5885,FIFA ,Sports Rollbots·$568,$6.15·$20·102%,Montie,$676,$1.08K,$1.72K,$499,"=IFERROR(LEFT(I39,LEN(I39)-1)*10^(SEARCH(RIGHT(I39),""kmbt"")*3),I39)","=LEFT(D39,SEARCH(""·"",D39)-1)","=MID(D39,SEARCH(""·"",D39)+2,SEARCH(""·"",D39,SEARCH(""·"",D39)+1)-SEARCH(""·"",D39)-2)","=RIGHT(D39,4)",=K39+0.6*L39,=J39/N39,=J39/(0.6*L39)
5667,Boxing ,Sports Rollbots·$568,$8.31·$30·114%,Hidden,$1.06K,$1.79K,$3K,$500,"=IFERROR(LEFT(I40,LEN(I40)-1)*10^(SEARCH(RIGHT(I40),""kmbt"")*3),I40)","=LEFT(D40,SEARCH(""·"",D40)-1)","=MID(D40,SEARCH(""·"",D40)+2,SEARCH(""·"",D40,SEARCH(""·"",D40)+1)-SEARCH(""·"",D40)-2)","=RIGHT(D40,4)",=K40+0.6*L40,=J40/N40,=J40/(0.6*L40)
3286,Soccer ,Sports Rollbots·$568,$9.03·$28·109%,samin,$890,$1.47K,$2.41K,$500,"=IFERROR(LEFT(I41,LEN(I41)-1)*10^(SEARCH(RIGHT(I41),""kmbt"")*3),I41)","=LEFT(D41,SEARCH(""·"",D41)-1)","=MID(D41,SEARCH(""·"",D41)+2,SEARCH(""·"",D41,SEARCH(""·"",D41)+1)-SEARCH(""·"",D41)-2)","=RIGHT(D41,4)",=K41+0.6*L41,=J41/N41,=J41/(0.6*L41)
1424,Rocket League ,Sports Rollbots·$568,$3.32·$44·101%,xSTEELAx,$725,$1.17K,$1.88K,$500,"=IFERROR(LEFT(I42,LEN(I42)-1)*10^(SEARCH(RIGHT(I42),""kmbt"")*3),I42)","=LEFT(D42,SEARCH(""·"",D42)-1)","=MID(D42,SEARCH(""·"",D42)+2,SEARCH(""·"",D42,SEARCH(""·"",D42)+1)-SEARCH(""·"",D42)-2)","=RIGHT(D42,4)",=K42+0.6*L42,=J42/N42,=J42/(0.6*L42)
1672,Soccer ,Sports Rollbots·$568,$9.03·$32·109%,ries,$899,$1.48K,$2.44K,$524,"=IFERROR(LEFT(I43,LEN(I43)-1)*10^(SEARCH(RIGHT(I43),""kmbt"")*3),I43)","=LEFT(D43,SEARCH(""·"",D43)-1)","=MID(D43,SEARCH(""·"",D43)+2,SEARCH(""·"",D43,SEARCH(""·"",D43)+1)-SEARCH(""·"",D43)-2)","=RIGHT(D43,4)",=K43+0.6*L43,=J43/N43,=J43/(0.6*L43)
3131,Soccer ,Sports Rollbots·$568,$9.03·$24·107%,hardy000,$826,$1.35K,$2.2K,$525,"=IFERROR(LEFT(I44,LEN(I44)-1)*10^(SEARCH(RIGHT(I44),""kmbt"")*3),I44)","=LEFT(D44,SEARCH(""·"",D44)-1)","=MID(D44,SEARCH(""·"",D44)+2,SEARCH(""·"",D44,SEARCH(""·"",D44)+1)-SEARCH(""·"",D44)-2)","=RIGHT(D44,4)",=K44+0.6*L44,=J44/N44,=J44/(0.6*L44)
1732,Handball ,Sports Rollbots·$568,$1.17·$26·119%,Hidden,$1.25K,$2.14K,$3.66K,$534,"=IFERROR(LEFT(I45,LEN(I45)-1)*10^(SEARCH(RIGHT(I45),""kmbt"")*3),I45)","=LEFT(D45,SEARCH(""·"",D45)-1)","=MID(D45,SEARCH(""·"",D45)+2,SEARCH(""·"",D45,SEARCH(""·"",D45)+1)-SEARCH(""·"",D45)-2)","=RIGHT(D45,4)",=K45+0.6*L45,=J45/N45,=J45/(0.6*L45)
6267,Soccer ,Sports Rollbots·$568,$4.51·$36·107%,RageFD,$842,$1.38K,$2.26K,$539,"=IFERROR(LEFT(I46,LEN(I46)-1)*10^(SEARCH(RIGHT(I46),""kmbt"")*3),I46)","=LEFT(D46,SEARCH(""·"",D46)-1)","=MID(D46,SEARCH(""·"",D46)+2,SEARCH(""·"",D46,SEARCH(""·"",D46)+1)-SEARCH(""·"",D46)-2)","=RIGHT(D46,4)",=K46+0.6*L46,=J46/N46,=J46/(0.6*L46)
85,American Football ,Sports Rollbots·$568,$1.06·$44·114%,OzzGunay,$1.06K,$1.79K,$3K,$545,"=IFERROR(LEFT(I47,LEN(I47)-1)*10^(SEARCH(RIGHT(I47),""kmbt"")*3),I47)","=LEFT(D47,SEARCH(""·"",D47)-1)","=MID(D47,SEARCH(""·"",D47)+2,SEARCH(""·"",D47,SEARCH(""·"",D47)+1)-SEARCH(""·"",D47)-2)","=RIGHT(D47,4)",=K47+0.6*L47,=J47/N47,=J47/(0.6*L47)
2821,Rugby ,Sports Rollbots·$568,$1.33·$40·101%,OzzGunay,$712,$1.14K,$1.84K,$550,"=IFERROR(LEFT(I48,LEN(I48)-1)*10^(SEARCH(RIGHT(I48),""kmbt"")*3),I48)","=LEFT(D48,SEARCH(""·"",D48)-1)","=MID(D48,SEARCH(""·"",D48)+2,SEARCH(""·"",D48,SEARCH(""·"",D48)+1)-SEARCH(""·"",D48)-2)","=RIGHT(D48,4)",=K48+0.6*L48,=J48/N48,=J48/(0.6*L48)
8247,Soccer ,Sports Rollbots·$568,$4.51·$20·101%,AlexGame7,$631,$1K,$1.58K,$550,"=IFERROR(LEFT(I49,LEN(I49)-1)*10^(SEARCH(RIGHT(I49),""kmbt"")*3),I49)","=LEFT(D49,SEARCH(""·"",D49)-1)","=MID(D49,SEARCH(""·"",D49)+2,SEARCH(""·"",D49,SEARCH(""·"",D49)+1)-SEARCH(""·"",D49)-2)","=RIGHT(D49,4)",=K49+0.6*L49,=J49/N49,=J49/(0.6*L49)
7692,Formula 1 ,Sports Rollbots·$568,$1.2·$40·103%,Hidden,$752,$1.21K,$1.96K,$550,"=IFERROR(LEFT(I50,LEN(I50)-1)*10^(SEARCH(RIGHT(I50),""kmbt"")*3),I50)","=LEFT(D50,SEARCH(""·"",D50)-1)","=MID(D50,SEARCH(""·"",D50)+2,SEARCH(""·"",D50,SEARCH(""·"",D50)+1)-SEARCH(""·"",D50)-2)","=RIGHT(D50,4)",=K50+0.6*L50,=J50/N50,=J50/(0.6*L50)
7472,American Football ,Sports Rollbots·$568,$1.06·$28·103%,AlexGame7,$717,$1.15K,$1.85K,$550,"=IFERROR(LEFT(I51,LEN(I51)-1)*10^(SEARCH(RIGHT(I51),""kmbt"")*3),I51)","=LEFT(D51,SEARCH(""·"",D51)-1)","=MID(D51,SEARCH(""·"",D51)+2,SEARCH(""·"",D51,SEARCH(""·"",D51)+1)-SEARCH(""·"",D51)-2)","=RIGHT(D51,4)",=K51+0.6*L51,=J51/N51,=J51/(0.6*L51)
8616,Cricket ,Sports Rollbots·$568,$6.72·$24·101%,Hidden,$700,$1.12K,$1.8K,$550,"=IFERROR(LEFT(I52,LEN(I52)-1)*10^(SEARCH(RIGHT(I52),""kmbt"")*3),I52)","=LEFT(D52,SEARCH(""·"",D52)-1)","=MID(D52,SEARCH(""·"",D52)+2,SEARCH(""·"",D52,SEARCH(""·"",D52)+1)-SEARCH(""·"",D52)-2)","=RIGHT(D52,4)",=K52+0.6*L52,=J52/N52,=J52/(0.6*L52)
9527,League of Legends ,Sports Rollbots·$568,$4.15·$38·101%,Hidden,$698,$1.12K,$1.79K,$564,"=IFERROR(LEFT(I53,LEN(I53)-1)*10^(SEARCH(RIGHT(I53),""kmbt"")*3),I53)","=LEFT(D53,SEARCH(""·"",D53)-1)","=MID(D53,SEARCH(""·"",D53)+2,SEARCH(""·"",D53,SEARCH(""·"",D53)+1)-SEARCH(""·"",D53)-2)","=RIGHT(D53,4)",=K53+0.6*L53,=J53/N53,=J53/(0.6*L53)
1322,Soccer ,Sports Rollbots·$568,$9.03·$48·101%,Hidden,$704,$1.13K,$1.81K,$565,"=IFERROR(LEFT(I54,LEN(I54)-1)*10^(SEARCH(RIGHT(I54),""kmbt"")*3),I54)","=LEFT(D54,SEARCH(""·"",D54)-1)","=MID(D54,SEARCH(""·"",D54)+2,SEARCH(""·"",D54,SEARCH(""·"",D54)+1)-SEARCH(""·"",D54)-2)","=RIGHT(D54,4)",=K54+0.6*L54,=J54/N54,=J54/(0.6*L54)
9572,NBA2K ,Sports Rollbots·$568,$20.15·$30·103%,Hidden,$785,$1.27K,$2.07K,$570,"=IFERROR(LEFT(I55,LEN(I55)-1)*10^(SEARCH(RIGHT(I55),""kmbt"")*3),I55)","=LEFT(D55,SEARCH(""·"",D55)-1)","=MID(D55,SEARCH(""·"",D55)+2,SEARCH(""·"",D55,SEARCH(""·"",D55)+1)-SEARCH(""·"",D55)-2)","=RIGHT(D55,4)",=K55+0.6*L55,=J55/N55,=J55/(0.6*L55)
